Datetime,Open,High,Low,Close,Volume
2025-01-02 09:30:00,425.53,425.75,424.6,425.1305,418900.0
2025-01-02 09:31:00,425.09,426.07,425.03,425.88,95173.0
2025-01-02 09:32:00,425.855,425.9496,424.33,424.445,52420.0
2025-01-02 09:33:00,424.45,424.7,423.6024,423.74,54395.0
2025-01-02 09:34:00,423.84,424.3871,423.6,423.72,63897.0
2025-01-02 09:35:00,423.82,423.9799,423.5,423.76,37125.0
2025-01-02 09:36:00,423.89,424.06,423.59,423.81,58465.0
2025-01-02 09:37:00,423.76,424.79,423.66,424.42,82132.0
2025-01-02 09:38:00,424.42,424.5791,424.16,424.2,54068.0
2025-01-02 09:39:00,424.17,424.17,423.2,423.26,37025.0
2025-01-02 09:40:00,423.28,423.6299,423.05,423.07,54522.0
2025-01-02 09:41:00,423.065,423.32,422.9469,423.07,51627.0
2025-01-02 09:42:00,423.11,423.805,422.7,423.41,65447.0
2025-01-02 09:43:00,423.435,423.7,422.9,423.1099,38969.0
2025-01-02 09:44:00,422.835,423.3792,422.75,423.12,31967.0
2025-01-02 09:45:00,423.19,423.37,422.95,423.295,40006.0
2025-01-02 09:46:00,423.295,423.54,423.0,423.345,48966.0
2025-01-02 09:47:00,423.335,423.922,423.22,423.85,43073.0
2025-01-02 09:48:00,423.85,423.85,423.4,423.7146,26499.0
2025-01-02 09:49:00,423.73,424.0,423.27,424.0,101706.0
2025-01-02 09:50:00,424.2,424.39,423.98,424.07,39116.0
2025-01-02 09:51:00,424.09,424.55,424.085,424.36,35621.0
2025-01-02 09:52:00,424.32,424.39,423.8961,424.39,33847.0
2025-01-02 09:53:00,424.365,424.5859,424.1,424.31,23467.0
2025-01-02 09:54:00,424.34,424.789,424.12,424.789,32997.0
2025-01-02 09:55:00,424.66,425.455,424.66,424.85,52437.0
2025-01-02 09:56:00,424.97,425.42,424.8,425.29,35292.0
2025-01-02 09:57:00,425.195,425.5,425.18,425.3531,31777.0
2025-01-02 09:58:00,425.3194,425.415,424.7426,425.15,39370.0
2025-01-02 09:59:00,425.15,425.43,424.99,425.4,30859.0
2025-01-02 10:00:00,425.5,425.56,424.91,425.49,88550.0
2025-01-02 10:01:00,425.47,425.5,425.17,425.28,28428.0
2025-01-02 10:02:00,425.315,425.55,425.05,425.05,41934.0
2025-01-02 10:03:00,425.03,425.2299,424.74,424.9306,27069.0
2025-01-02 10:04:00,424.95,425.3,424.91,425.3,20944.0
2025-01-02 10:05:00,425.315,425.505,425.145,425.2,25400.0
2025-01-02 10:06:00,425.14488,425.545,425.14488,425.212878,35915.0
2025-01-02 10:07:00,425.27,425.525,425.09,425.4532,39254.0
2025-01-02 10:08:00,425.45,425.5599,425.310542,425.49,39698.0
2025-01-02 10:09:00,425.5278,425.53,425.12,425.3025,36566.0
2025-01-02 10:10:00,425.21,425.5,424.8544,425.425,41347.0
2025-01-02 10:11:00,425.478,425.72,425.33,425.485,54753.0
2025-01-02 10:12:00,425.3801,425.75,425.32,425.7,40921.0
2025-01-02 10:13:00,425.52,425.93,425.33,425.85,23753.0
2025-01-02 10:14:00,425.795,425.832,425.52,425.52,25661.0
2025-01-02 10:15:00,425.52,425.64,425.24,425.34,28118.0
2025-01-02 10:16:00,425.29,425.5235,425.0001,425.42,59361.0
2025-01-02 10:17:00,425.37,425.4099,424.99,425.025,50439.0
2025-01-02 10:18:00,425.025,425.49,425.0,425.25,28697.0
2025-01-02 10:19:00,425.255,425.3,424.5451,424.66,23355.0
2025-01-02 10:20:00,424.71,424.76,423.68,423.81,34807.0
2025-01-02 10:21:00,423.8225,424.08,423.35,423.5,53941.0
2025-01-02 10:22:00,423.4184,423.73,422.79,422.855,41984.0
2025-01-02 10:23:00,422.79,422.92,422.44,422.8432,38797.0
2025-01-02 10:24:00,422.85,422.995,422.3341,422.64,50174.0
2025-01-02 10:25:00,422.7375,423.1862,422.585,423.07,32503.0
2025-01-02 10:26:00,423.0,423.2316,422.7,423.025,39056.0
2025-01-02 10:27:00,423.025,423.15,422.75,422.87,19098.0
2025-01-02 10:28:00,422.805,422.82,422.25,422.7925,47806.0
2025-01-02 10:29:00,422.83,423.2699,422.74,423.19,54085.0
2025-01-02 10:30:00,423.12,423.365,422.92,422.995,40564.0
2025-01-02 10:31:00,422.9775,423.01,421.8617,421.9551,56911.0
2025-01-02 10:32:00,421.95,422.5451,421.89,422.415,47695.0
2025-01-02 10:33:00,422.47,422.55,422.13,422.25,22403.0
2025-01-02 10:34:00,422.265,422.59,422.0,422.01,29677.0
2025-01-02 10:35:00,422.0,422.0,421.44,421.84,39030.0
2025-01-02 10:36:00,421.89,422.14,421.51,422.14,29472.0
2025-01-02 10:37:00,422.105,422.52,421.37,421.45,40314.0
2025-01-02 10:38:00,421.37,421.64,421.26,421.46,35498.0
2025-01-02 10:39:00,421.52,421.67,421.37,421.46,31363.0
2025-01-02 10:40:00,421.45,421.79,421.37,421.58,26970.0
2025-01-02 10:41:00,421.54,421.73,420.75,420.91,49070.0
2025-01-02 10:42:00,420.915,421.1099,420.525,420.8822,33889.0
2025-01-02 10:43:00,421.0336,421.0336,420.5,421.0,30211.0
2025-01-02 10:44:00,420.96,421.26,420.85,421.26,27557.0
2025-01-02 10:45:00,421.175,421.67,421.03,421.42,29931.0
2025-01-02 10:46:00,421.45,421.56,421.11,421.16,20507.0
2025-01-02 10:47:00,421.15,421.3875,421.07,421.235,18824.0
2025-01-02 10:48:00,421.19,421.9,421.15,421.78,36900.0
2025-01-02 10:49:00,421.83,422.38,421.63,422.22,36784.0
2025-01-02 10:50:00,422.185,422.4,421.96,422.37,32487.0
2025-01-02 10:51:00,422.2801,422.775,422.2,422.71,25853.0
2025-01-02 10:52:00,422.67,423.11,422.48,422.535,35833.0
2025-01-02 10:53:00,422.46,422.64,421.66,422.055,28525.0
2025-01-02 10:54:00,422.102,422.8075,421.97,422.6732,19818.0
2025-01-02 10:55:00,422.73,422.78,422.37,422.44,18432.0
2025-01-02 10:56:00,422.513,422.67,422.28,422.445,13074.0
2025-01-02 10:57:00,422.43,422.58,422.278,422.35,10449.0
2025-01-02 10:58:00,422.3481,422.5,422.11,422.175,15627.0
2025-01-02 10:59:00,422.1405,422.1405,421.54,421.73,35434.0
2025-01-02 11:00:00,421.9,421.94,421.595,421.785,21478.0
2025-01-02 11:01:00,421.71,421.91,421.5,421.785,18518.0
2025-01-02 11:02:00,421.88,421.96,421.0,421.32,24148.0
2025-01-02 11:03:00,421.26,421.39,420.9,420.9,20261.0
2025-01-02 11:04:00,421.01,421.03,420.36,420.88,52039.0
2025-01-02 11:05:00,420.825,421.0775,420.7,420.93,23302.0
2025-01-02 11:06:00,420.77,421.22,420.77,421.075,21085.0
2025-01-02 11:07:00,420.99,421.1995,420.6,420.79,17942.0
2025-01-02 11:08:00,420.88,420.99,420.45,420.45,52343.0
2025-01-02 11:09:00,420.53,420.8,420.5,420.66,17131.0
2025-01-02 11:10:00,420.71,420.7718,420.3,420.59,28831.0
2025-01-02 11:11:00,420.545,421.1275,420.545,421.1275,19673.0
2025-01-02 11:12:00,421.085,421.35,420.87,420.9862,26349.0
2025-01-02 11:13:00,420.984,421.1799,420.9,421.1799,8750.0
2025-01-02 11:14:00,421.09,421.57,421.01,421.304,16005.0
2025-01-02 11:15:00,421.355,421.3607,421.0462,421.0462,12080.0
2025-01-02 11:16:00,421.21,421.4615,421.0,421.2,26110.0
2025-01-02 11:17:00,421.24,421.35,421.01,421.17,11145.0
2025-01-02 11:18:00,421.215,421.25,421.018,421.22,9178.0
2025-01-02 11:19:00,421.165,421.5,420.9567,421.5,17603.0
2025-01-02 11:20:00,421.58,421.6006,420.9501,421.1,18908.0
2025-01-02 11:21:00,421.1422,421.1994,420.91,421.0469,17752.0
2025-01-02 11:22:00,421.01,421.14,420.77,420.84,18623.0
2025-01-02 11:23:00,420.89,421.3,420.76,421.235,17758.0
2025-01-02 11:24:00,421.43,421.93,421.355,421.71,23201.0
2025-01-02 11:25:00,421.7,421.71,421.3173,421.4609,18337.0
2025-01-02 11:26:00,421.36,421.81,421.24,421.81,13740.0
2025-01-02 11:27:00,421.79,421.89,421.31,421.35,16155.0
2025-01-02 11:28:00,421.42,421.71,421.42,421.59,14404.0
2025-01-02 11:29:00,421.605,421.7482,421.47,421.48,17202.0
2025-01-02 11:30:00,421.49,421.73,421.28,421.43,14849.0
2025-01-02 11:31:00,421.415,421.46,421.16,421.4,17919.0
2025-01-02 11:32:00,421.4,421.49,421.095,421.44,15154.0
2025-01-02 11:33:00,421.435,421.61,421.3,421.46,16084.0
2025-01-02 11:34:00,421.58,421.72,421.45,421.54,21221.0
2025-01-02 11:35:00,421.56,421.85,421.514,421.81,23792.0
2025-01-02 11:36:00,421.77,421.85,421.53,421.6999,33218.0
2025-01-02 11:37:00,421.56,421.575,421.195,421.23,26414.0
2025-01-02 11:38:00,421.2935,421.47,421.23,421.335,17933.0
2025-01-02 11:39:00,421.39,422.08,421.335,421.5652,34597.0
2025-01-02 11:40:00,421.62,422.08,421.5,421.86,25803.0
2025-01-02 11:41:00,421.9027,421.9799,421.75,421.84,16103.0
2025-01-02 11:42:00,421.79,421.92,421.72,421.7315,10287.0
2025-01-02 11:43:00,421.76,421.76,421.5,421.6,13534.0
2025-01-02 11:44:00,421.6,421.66,421.31,421.31,10792.0
2025-01-02 11:45:00,421.39,421.62,421.38,421.52,17586.0
2025-01-02 11:46:00,421.42,421.54,421.34,421.54,11504.0
2025-01-02 11:47:00,421.57,421.62,421.43,421.55,18462.0
2025-01-02 11:48:00,421.6,421.9634,421.5,421.91,25643.0
2025-01-02 11:49:00,421.86,422.11,421.74,422.085,62671.0
2025-01-02 11:50:00,422.0812,422.16,421.9462,422.055,17916.0
2025-01-02 11:51:00,422.055,422.36,421.99,422.3499,28427.0
2025-01-02 11:52:00,422.27,422.3,421.82,421.89,18471.0
2025-01-02 11:53:00,421.875,422.0,421.785,421.95,16198.0
2025-01-02 11:54:00,421.885,422.07,421.33,421.67,33694.0
2025-01-02 11:55:00,421.615,421.82,421.6,421.76,15538.0
2025-01-02 11:56:00,421.77,421.8399,421.67,421.7,14358.0
2025-01-02 11:57:00,421.63,421.82,421.51,421.81,23041.0
2025-01-02 11:58:00,421.82,421.9,421.63,421.73,23195.0
2025-01-02 11:59:00,421.7,421.891,421.58,421.61,16220.0
2025-01-02 12:00:00,421.6203,421.73,421.3,421.38,18853.0
2025-01-02 12:01:00,421.31,421.76,421.3,421.6,16404.0
2025-01-02 12:02:00,421.74,421.9198,421.34,421.5054,14341.0
2025-01-02 12:03:00,421.485,421.81,421.4,421.72,12764.0
2025-01-02 12:04:00,421.74,421.96,421.645,421.92,15135.0
2025-01-02 12:05:00,421.92,421.92,421.56,421.66,16395.0
2025-01-02 12:06:00,421.64,421.68,421.26,421.34,16131.0
2025-01-02 12:07:00,421.37,421.37,421.02,421.055,22650.0
2025-01-02 12:08:00,421.0,421.02,420.73,421.0,41999.0
2025-01-02 12:09:00,421.03,421.133,420.89,420.9,15495.0
2025-01-02 12:10:00,420.95,421.15,420.89,421.0201,15834.0
2025-01-02 12:11:00,421.025,421.2699,420.92,421.015,15591.0
2025-01-02 12:12:00,420.995,421.17,420.995,421.17,12423.0
2025-01-02 12:13:00,421.17,421.7399,421.145,421.54,23367.0
